DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;NO_TRIALS;MLFE;LF_COST;HF_COST;K;n_0;PROP_HF
29-Sep-2021;19:40:39;LV_f15_MF;30;5977.657567;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;1;450.348597;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;2;294.245982;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;3;329.182637;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;4;267.015955;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;5;497.894364;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;6;686.850602;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;7;552.041684;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;8;407.227143;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;9;610.003474;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;10;358.125985;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:40;LV_f16_MF;11;374.914727;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;12;893.731211;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;13;152.378957;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;14;393.868961;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;15;408.030796;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;16;238.550290;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;17;664.573763;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;18;1069.252242;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;19;967.217247;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;20;249.450268;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:41;LV_f16_MF;21;600.394963;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;22;193.007394;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;23;705.829697;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;24;1098.730613;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;25;251.037537;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;26;308.077691;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;27;210.325518;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;28;605.297464;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;29;743.814740;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f16_MF;30;507.053314;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f17_MF;1;302.600547;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:42;LV_f17_MF;2;308.553231;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;3;338.205370;0.13;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;4;259.074380;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;5;141.960641;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;6;329.066848;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;7;363.752885;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;8;354.236012;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:43;LV_f17_MF;9;392.605341;0.09;30;2000;1;5;10;3;0.250000
